year,min,max,mean,median,sum,std
1982,27.8,494.1,131.8083333333333,104.65,1581.6999999999998,124.08457129447373
1983,5.6,370.6,166.14166666666665,180.4,1993.6999999999998,110.55021449206883
1984,102.7,470.4,223.89166666666665,187.1,2686.7,107.29345026466885
1985,37.0,340.1,123.65833333333335,110.6,1483.9,80.14139162452292
1986,26.7,396.0,211.34166666666667,188.65,2536.1,124.25305160571847
1987,22.6,568.6,175.23333333333335,128.25,2102.8,154.03593638164344
1988,62.9,440.4,216.55000000000004,208.2,2598.6000000000004,120.12693665074002
1989,52.4,508.4,205.26666666666665,191.85,2463.2,115.63312936205007
1990,24.1,204.5,126.98333333333335,135.3,1523.8000000000002,60.60203766951216
1991,37.3,492.3,156.41666666666666,123.5,1876.9999999999998,127.48727446892552
1992,62.4,502.7,188.4,122.10000000000001,2260.8,158.15538389364255
1993,61.7,308.5,180.725,175.95,2168.7,84.86207124719284
1994,23.7,425.4,161.8166666666667,143.75,1941.8000000000002,125.74865864698181
1995,29.5,372.8,194.38333333333333,192.6,2332.6,124.74719769731638
1996,107.5,300.0,201.49999999999997,180.2,2417.9999999999995,63.410380566878516
1997,15.4,351.9,93.24166666666667,78.65,1118.9,92.4518691323253
1998,32.5,463.4,218.59166666666667,210.75,2623.1,121.85247010092561
1999,67.4,340.5,177.83333333333334,187.65,2134.0,75.86668131224229
2000,81.1,385.7,197.54166666666666,196.75,2370.5,97.27433986910268
2001,86.6,609.0,231.92499999999998,170.10000000000002,2783.1,150.13564851342088
2002,10.8,307.2,145.74166666666667,120.35,1748.9,99.39073908142304
2003,50.3,444.2,199.26666666666668,171.65,2391.2000000000003,110.36744689143322
2004,31.9,600.9,178.03333333333333,138.7,2136.4,145.94831795930884
2005,8.4,362.9,160.89166666666665,133.6,1930.6999999999998,116.46607354881843
2006,83.1,765.9,229.4333333333333,169.7,2753.2,197.5285771423436
2007,105.5,468.6,240.51666666666668,213.95,2886.2000000000003,126.13100572841164
2008,87.2,327.3,193.75833333333333,161.95,2325.1,91.04109420109873
2009,21.8,281.8,160.075,180.75,1920.8999999999999,74.47066689155353
2010,6.3,298.5,172.92499999999998,162.35,2075.1,84.02322325080458
2011,23.0,513.2,210.35000000000002,214.9,2524.2000000000003,138.02071320177737
2012,53.0,363.4,179.99166666666667,126.5,2159.9,103.07725662498655
2013,85.8,395.2,229.0333333333333,234.2,2748.3999999999996,94.08575714192715
2014,0.2,250.8,128.2,115.0,1538.3999999999999,80.12140787579808
2015,18.8,302.3,105.59166666666668,85.80000000000001,1267.1000000000001,73.04604349105412
2016,6.2,292.6,162.97500000000002,165.7,1955.7000000000003,78.96473464896731
2017,79.6,371.2,170.46666666666667,147.3,2045.6000000000001,84.34739133039281
2018,14.8,287.0,142.35,143.8,1708.1999999999998,77.23777337782101
2019,11.8,421.5,113.95833333333333,70.6,1367.5,116.20827273268952
2020,65.0,188.0,112.55,98.6,450.2,53.38848190387136
